Flow ID,Source IP,Source Port,Destination IP,Destination Port,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Label
192.168.10.15-23.61.187.27-50535-80-6,192.168.10.15,50535,23.61.187.27,80,5/7/2017 9:48,100,2,0,BENIGN
162.213.33.48-192.168.10.51-443-47254-6,192.168.10.51,47254,162.213.33.48,443,5/7/2017 9:48,943192,10,10,BENIGN
162.213.33.48-192.168.10.51-443-47253-6,192.168.10.51,47253,162.213.33.48,443,5/7/2017 9:48,4044872,11,10,BENIGN
192.168.10.8-52.84.86.21-50938-443-6,192.168.10.8,50938,52.84.86.21,443,5/7/2017 9:48,5096146,8,6,BENIGN
192.168.10.9-216.58.212.142-15393-443-6,192.168.10.9,15393,216.58.212.142,443,5/7/2017 9:48,5117167,5,1,BENIGN
172.217.10.46-192.168.10.9-443-15395-6,192.168.10.9,15395,172.217.10.46,443,5/7/2017 9:48,4103568,5,1,BENIGN
172.217.10.46-192.168.10.9-443-15395-6,172.217.10.46,443,192.168.10.9,15395,5/7/2017 9:48,4,2,0,BENIGN
192.168.10.9-216.58.212.142-15393-443-6,216.58.212.142,443,192.168.10.9,15393,5/7/2017 9:48,4,2,0,BENIGN
192.168.10.14-72.21.91.29-50462-80-6,192.168.10.14,50462,72.21.91.29,80,5/7/2017 9:48,5383521,3,1,BENIGN
192.168.10.14-72.21.91.29-50461-80-6,192.168.10.14,50461,72.21.91.29,80,5/7/2017 9:48,5383759,3,1,BENIGN
192.168.10.14-72.21.91.29-50460-80-6,192.168.10.14,50460,72.21.91.29,80,5/7/2017 9:48,5383841,3,1,BENIGN
172.217.7.4-192.168.10.25-443-50225-6,192.168.10.25,50225,172.217.7.4,443,5/7/2017 9:48,7317761,17,8,BENIGN
172.217.7.4-192.168.10.25-443-50225-6,172.217.7.4,443,192.168.10.25,50225,5/7/2017 9:48,202,1,1,BENIGN
172.217.7.4-192.168.10.25-443-50230-6,192.168.10.25,50230,172.217.7.4,443,5/7/2017 9:48,130507,10,5,BENIGN
172.217.7.4-192.168.10.25-443-50230-6,172.217.7.4,443,192.168.10.25,50230,5/7/2017 9:48,205,2,1,BENIGN
192.168.10.25-216.58.219.237-50233-443-6,192.168.10.25,50233,216.58.219.237,443,5/7/2017 9:48,211281,15,10,BENIGN
192.168.10.25-216.58.219.237-50234-443-6,192.168.10.25,50234,216.58.219.237,443,5/7/2017 9:48,238135,15,9,BENIGN
192.168.10.25-216.58.219.237-50233-443-6,216.58.219.237,443,192.168.10.25,50233,5/7/2017 9:48,206,1,1,BENIGN
192.168.10.25-216.58.219.237-50234-443-6,216.58.219.237,443,192.168.10.25,50234,5/7/2017 9:48,200,1,1,BENIGN
192.168.10.14-52.84.86.154-50351-443-6,52.84.86.154,443,192.168.10.14,50351,5/7/2017 9:48,3,2,0,BENIGN
130.250.51.150-192.168.10.14-443-50316-6,130.250.51.150,443,192.168.10.14,50316,5/7/2017 9:48,4,3,0,BENIGN
130.250.51.150-192.168.10.14-443-50315-6,130.250.51.150,443,192.168.10.14,50315,5/7/2017 9:48,5,3,0,BENIGN
130.250.51.150-192.168.10.14-443-50317-6,130.250.51.150,443,192.168.10.14,50317,5/7/2017 9:48,265,3,0,BENIGN
130.250.51.150-192.168.10.14-443-50314-6,192.168.10.14,50314,130.250.51.150,443,5/7/2017 9:48,15,1,3,BENIGN
130.250.51.144-192.168.10.14-443-50310-6,130.250.51.144,443,192.168.10.14,50310,5/7/2017 9:48,19,3,0,BENIGN
130.250.51.144-192.168.10.14-443-50309-6,130.250.51.144,443,192.168.10.14,50309,5/7/2017 9:48,229,3,0,BENIGN
130.250.51.144-192.168.10.14-443-50311-6,130.250.51.144,443,192.168.10.14,50311,5/7/2017 9:48,251,3,1,BENIGN
130.250.51.144-192.168.10.14-443-50306-6,130.250.51.144,443,192.168.10.14,50306,5/7/2017 9:48,541,3,0,BENIGN
192.168.10.16-192.168.10.50-44734-22-6,192.168.10.16,44734,192.168.10.50,22,5/7/2017 9:48,1435096,41,44,BENIGN
192.168.10.16-192.168.10.50-44734-22-6,192.168.10.16,44734,192.168.10.50,22,5/7/2017 9:48,249,1,1,BENIGN
192.168.10.17-104.16.126.228-37407-443-6,192.168.10.17,37407,104.16.126.228,443,5/7/2017 9:48,15642,4,1,BENIGN
192.168.10.17-104.16.126.228-37407-443-6,104.16.126.228,443,192.168.10.17,37407,5/7/2017 9:48,1376,5,1,BENIGN
192.168.10.16-192.168.10.50-44736-22-6,192.168.10.16,44736,192.168.10.50,22,5/7/2017 9:48,1351518,41,42,BENIGN
192.168.10.16-192.168.10.50-44736-22-6,192.168.10.16,44736,192.168.10.50,22,5/7/2017 9:48,230,1,1,BENIGN
151.101.0.84-192.168.10.14-443-50365-6,151.101.0.84,443,192.168.10.14,50365,5/7/2017 9:48,4,3,0,BENIGN
192.168.10.14-52.84.86.154-50352-443-6,52.84.86.154,443,192.168.10.14,50352,5/7/2017 9:48,3,2,0,BENIGN
192.168.10.14-68.67.154.70-50347-443-6,68.67.154.70,443,192.168.10.14,50347,5/7/2017 9:48,3,2,0,BENIGN
130.250.51.144-192.168.10.14-443-50308-6,130.250.51.144,443,192.168.10.14,50308,5/7/2017 9:48,213,3,0,BENIGN
130.250.51.144-192.168.10.14-443-50305-6,192.168.10.14,50305,130.250.51.144,443,5/7/2017 9:48,3,2,0,BENIGN
151.101.0.166-192.168.10.14-443-50407-6,151.101.0.166,443,192.168.10.14,50407,5/7/2017 9:48,342,3,0,BENIGN
151.101.0.207-192.168.10.14-443-50393-6,151.101.0.207,443,192.168.10.14,50393,5/7/2017 9:48,4,3,0,BENIGN
192.168.10.14-68.67.154.70-50347-443-6,68.67.154.70,443,192.168.10.14,50347,5/7/2017 9:48,999534,2,0,BENIGN
192.168.10.14-52.84.86.175-50409-443-6,52.84.86.175,443,192.168.10.14,50409,5/7/2017 9:48,3,2,0,BENIGN
192.168.10.14-68.67.154.70-50390-443-6,68.67.154.70,443,192.168.10.14,50390,5/7/2017 9:48,3,2,0,BENIGN
192.168.10.14-208.185.50.80-50373-443-6,208.185.50.80,443,192.168.10.14,50373,5/7/2017 9:48,233,2,0,BENIGN
172.217.11.46-192.168.10.14-80-50290-6,192.168.10.14,50290,172.217.11.46,80,5/7/2017 9:48,36891,1,1,BENIGN
172.217.11.46-192.168.10.14-80-50291-6,192.168.10.14,50291,172.217.11.46,80,5/7/2017 9:48,36916,1,1,BENIGN
130.250.51.144-192.168.10.14-443-50305-6,130.250.51.144,443,192.168.10.14,50305,5/7/2017 9:48,380,3,0,BENIGN
192.168.10.14-23.194.141.179-50425-443-6,23.194.141.179,443,192.168.10.14,50425,5/7/2017 9:48,238,3,0,BENIGN
152.163.66.131-192.168.10.14-443-50414-6,152.163.66.131,443,192.168.10.14,50414,5/7/2017 9:48,3,2,0,BENIGN
192.168.10.14-23.60.139.27-50358-80-6,192.168.10.14,50358,23.60.139.27,80,5/7/2017 9:48,37033,1,1,BENIGN
192.168.10.14-23.60.139.27-50356-80-6,192.168.10.14,50356,23.60.139.27,80,5/7/2017 9:48,37051,1,1,BENIGN
192.168.10.14-199.187.193.130-50416-443-6,199.187.193.130,443,192.168.10.14,50416,5/7/2017 9:48,210,2,0,BENIGN
152.163.20.130-192.168.10.14-443-50417-6,152.163.20.130,443,192.168.10.14,50417,5/7/2017 9:48,1,2,0,BENIGN
152.163.20.130-192.168.10.14-443-50419-6,152.163.20.130,443,192.168.10.14,50419,5/7/2017 9:48,1,2,0,BENIGN
192.168.10.19-54.235.187.181-58320-443-6,192.168.10.19,58320,54.235.187.181,443,5/7/2017 9:48,55,2,0,BENIGN
192.168.10.19-54.174.231.207-39569-443-6,192.168.10.19,39569,54.174.231.207,443,5/7/2017 9:48,3,2,0,BENIGN
192.168.10.9-74.125.192.109-15411-465-6,192.168.10.9,15411,74.125.192.109,465,5/7/2017 9:48,1894783,14,21,BENIGN
192.168.10.9-74.125.192.109-15411-465-6,192.168.10.9,15411,74.125.192.109,465,5/7/2017 9:48,150,3,0,BENIGN
192.168.10.17-68.67.178.137-38600-80-6,192.168.10.17,38600,68.67.178.137,80,5/7/2017 9:48,10071068,6,6,BENIGN
192.168.10.51-104.25.239.35-55387-443-6,192.168.10.51,55387,104.25.239.35,443,5/7/2017 9:48,3956112,5,1,BENIGN
192.168.10.51-104.25.239.35-55387-443-6,104.25.239.35,443,192.168.10.51,55387,5/7/2017 9:48,220,2,0,BENIGN
192.168.10.51-31.13.80.12-43392-443-6,192.168.10.51,43392,31.13.80.12,443,5/7/2017 9:48,3956062,5,1,BENIGN
192.168.10.51-31.13.80.12-43392-443-6,31.13.80.12,443,192.168.10.51,43392,5/7/2017 9:48,5,3,0,BENIGN
192.168.10.51-31.13.80.12-43394-443-6,192.168.10.51,43394,31.13.80.12,443,5/7/2017 9:48,3956052,5,1,BENIGN
192.168.10.51-31.13.80.12-43394-443-6,31.13.80.12,443,192.168.10.51,43394,5/7/2017 9:48,4,3,0,BENIGN
182.22.65.140-192.168.10.12-443-37928-6,192.168.10.12,37928,182.22.65.140,443,5/7/2017 9:48,100,2,0,BENIGN
172.16.0.1-192.168.10.50-53692-80-6,172.16.0.1,53692,192.168.10.50,80,5/7/2017 9:48,507096,6,1,DoS slowloris
172.16.0.1-192.168.10.50-53690-80-6,172.16.0.1,53690,192.168.10.50,80,5/7/2017 9:48,507376,6,1,DoS slowloris
172.16.0.1-192.168.10.50-53688-80-6,172.16.0.1,53688,192.168.10.50,80,5/7/2017 9:48,507477,6,1,DoS slowloris
172.16.0.1-192.168.10.50-53686-80-6,172.16.0.1,53686,192.168.10.50,80,5/7/2017 9:48,507581,6,1,DoS slowloris
172.16.0.1-192.168.10.50-53684-80-6,172.16.0.1,53684,192.168.10.50,80,5/7/2017 9:48,507661,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53682-80-6,172.16.0.1,53682,192.168.10.50,80,5/7/2017 9:48,508102,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53678-80-6,172.16.0.1,53678,192.168.10.50,80,5/7/2017 9:48,508471,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53680-80-6,172.16.0.1,53680,192.168.10.50,80,5/7/2017 9:48,508142,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53674-80-6,172.16.0.1,53674,192.168.10.50,80,5/7/2017 9:48,508780,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53672-80-6,172.16.0.1,53672,192.168.10.50,80,5/7/2017 9:48,508971,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53676-80-6,172.16.0.1,53676,192.168.10.50,80,5/7/2017 9:48,508802,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53670-80-6,172.16.0.1,53670,192.168.10.50,80,5/7/2017 9:48,509005,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53668-80-6,172.16.0.1,53668,192.168.10.50,80,5/7/2017 9:48,509755,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53664-80-6,172.16.0.1,53664,192.168.10.50,80,5/7/2017 9:48,509858,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53666-80-6,172.16.0.1,53666,192.168.10.50,80,5/7/2017 9:48,509869,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53658-80-6,172.16.0.1,53658,192.168.10.50,80,5/7/2017 9:48,510596,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53662-80-6,172.16.0.1,53662,192.168.10.50,80,5/7/2017 9:48,509955,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53656-80-6,172.16.0.1,53656,192.168.10.50,80,5/7/2017 9:48,510695,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53652-80-6,172.16.0.1,53652,192.168.10.50,80,5/7/2017 9:48,510943,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53654-80-6,172.16.0.1,53654,192.168.10.50,80,5/7/2017 9:48,510776,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53650-80-6,172.16.0.1,53650,192.168.10.50,80,5/7/2017 9:48,511453,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53648-80-6,172.16.0.1,53648,192.168.10.50,80,5/7/2017 9:48,511524,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53646-80-6,172.16.0.1,53646,192.168.10.50,80,5/7/2017 9:48,511605,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53642-80-6,172.16.0.1,53642,192.168.10.50,80,5/7/2017 9:48,512287,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53640-80-6,172.16.0.1,53640,192.168.10.50,80,5/7/2017 9:48,512310,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53644-80-6,172.16.0.1,53644,192.168.10.50,80,5/7/2017 9:48,511799,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53638-80-6,172.16.0.1,53638,192.168.10.50,80,5/7/2017 9:48,512418,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53636-80-6,172.16.0.1,53636,192.168.10.50,80,5/7/2017 9:48,512661,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53634-80-6,172.16.0.1,53634,192.168.10.50,80,5/7/2017 9:48,513189,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53632-80-6,172.16.0.1,53632,192.168.10.50,80,5/7/2017 9:48,513244,4,2,DoS slowloris
172.16.0.1-192.168.10.50-53630-80-6,172.16.0.1,53630,192.168.10.50,80,5/7/2017 9:48,513308,4,2,DoS slowloris
